letter;total_mass;tl_mass;tr_mass;bl_mass;br_mass;tl_density;tr_density;bl_density;br_density;center_x;center_y;center_x_norm;center_y_norm;moment_h;moment_v;moment_h_norm;moment_v_norm;width;height
A;11083;1632;2382;2722;4347;0.09586;0.13992;0.15865;0.25337;139.64;148.94;0.52693;0.58181;38356690.62;26466275.52;3460.85813;2388.00645;266;257
B;16435;4124;3955;3991;4365;0.28461;0.27059;0.27543;0.29865;120.13;127.36;0.52232;0.50743;68896754.20;49130874.97;4192.07510;2989.40523;231;252
C;10227;3453;1761;3898;1115;0.22723;0.11589;0.25651;0.07337;88.31;128.98;0.38231;0.49419;52416343.43;32154805.06;5125.29025;3144.10923;232;262
D;15829;4058;3983;4012;3776;0.25359;0.24891;0.25072;0.23597;130.11;124.26;0.51428;0.49506;70333995.16;69013888.61;4443.36314;4359.96517;254;252
E;12080;4128;2227;3863;1862;0.29515;0.15781;0.27620;0.13194;97.70;126.26;0.44008;0.50303;60883084.44;24970263.58;5039.99043;2067.07480;223;252
F;10394;3893;2323;3696;482;0.30897;0.18437;0.29333;0.03825;85.68;112.49;0.43056;0.44815;45409078.59;14685803.74;4368.77801;1412.91165;200;252
G;13630;3534;2344;3982;3770;0.21076;0.13979;0.23748;0.22483;116.81;137.53;0.45806;0.52692;59369974.56;62951979.39;4355.83086;4618.63385;256;262
H;16040;4108;4109;3909;3914;0.25079;0.25085;0.23864;0.23895;129.53;125.34;0.50010;0.49935;69366034.37;64723003.31;4324.56573;4035.09996;260;252
I;7433;1848;1870;1846;1869;0.22222;0.22487;0.22198;0.22475;65.66;125.47;0.50119;0.49986;34671713.33;1334567.38;4664.56523;179.54626;132;252
J;7695;473;3304;1529;2389;0.04738;0.32674;0.15196;0.23442;82.02;128.26;0.52577;0.50100;36322943.17;3485763.00;4720.33050;452.99064;157;257
K;15359;4766;1804;5082;3707;0.28228;0.10606;0.30100;0.21793;111.51;133.77;0.41607;0.53296;70349892.97;41927536.87;4580.36936;2729.83507;269;252
L;9264;3743;30;3903;1588;0.26762;0.00213;0.27906;0.11253;82.76;142.43;0.37281;0.56746;47731612.20;14522652.47;5152.37610;1567.64383;223;252
M;19448;4890;4804;4857;4897;0.24878;0.24285;0.24710;0.24755;161.49;126.11;0.51761;0.50244;75691273.64;121212155.27;3891.98240;6232.62830;313;252
N;13618;4758;2546;2031;4283;0.27547;0.14741;0.11667;0.24604;138.02;119.85;0.50931;0.47184;51683531.16;50891483.43;3795.23654;3737.07471;272;255
Ñ;15744;4602;2776;3128;5238;0.21417;0.12919;0.14465;0.24223;138.26;162.67;0.51019;0.51477;88985793.96;52385846.33;5652.04484;3327.35304;272;317
O;14321;3555;3635;3647;3484;0.21885;0.22377;0.22451;0.21448;123.03;130.29;0.49808;0.49919;55894843.18;72721219.08;3902.99862;5077.94282;248;262
P;12035;3744;3926;3828;537;0.29420;0.30850;0.30080;0.04220;96.05;108.19;0.47788;0.43104;46148314.62;21966515.81;3834.50890;1825.21943;202;252
Q;16561;4563;4675;2926;4397;0.23144;0.23712;0.14748;0.22162;127.32;147.68;0.51547;0.46441;91547536.62;76186101.80;5527.89908;4600.33221;248;319
R;15522;4246;3584;4377;3315;0.26745;0.22575;0.27570;0.20881;111.09;125.35;0.44258;0.49939;66529686.94;36474376.02;4286.15429;2349.85028;252;252
S;11683;3848;1937;1919;3979;0.32638;0.16249;0.16277;0.33378;89.11;131.67;0.49508;0.50449;50927907.17;21035437.08;4359.14638;1800.51674;181;262
T;9661;2963;2996;1855;1847;0.21574;0.21616;0.13507;0.13326;108.81;104.15;0.49913;0.41494;49147116.47;12325606.46;5087.16659;1275.81063;219;252
U;11511;3868;2069;3494;2080;0.22721;0.12063;0.20365;0.12033;117.39;124.07;0.44130;0.48464;55853395.96;46478921.81;4852.17583;4037.78315;267;257
V;10286;4046;2156;2256;1828;0.23766;0.12664;0.13149;0.10655;125.10;107.62;0.47206;0.42041;38814639.71;25906359.14;3773.54071;2518.60384;266;257
W;17740;5643;4513;3785;3799;0.26242;0.20987;0.17465;0.17530;158.84;112.69;0.47414;0.44020;63934386.81;81477695.69;3603.96769;4592.88025;336;257
X;13142;4037;2470;2370;4265;0.24090;0.14739;0.14142;0.25451;134.47;125.41;0.50743;0.49964;66426218.29;34194185.02;5054.49842;2601.90116;266;252
Y;10477;4247;2324;1955;1951;0.25535;0.13868;0.11754;0.11642;125.04;108.00;0.47364;0.43027;46251045.99;20521333.27;4414.53145;1958.70319;265;252
Z;11785;1609;4057;4321;1798;0.11504;0.28749;0.30895;0.12741;110.86;129.04;0.49936;0.51410;66516645.85;24905421.37;5644.17869;2113.31535;223;252
